home_team,away_team,match_period,game_week,match_date,match_time,stadium,score_line,total_goals,away_goals,home_goals,referee,min 1-15 goals,min 16-30 goals,min 31-45+ goals,min 46-60 goals,min 61-75 goals,min 76-90+ goals,45+ goals,90+ goals,1st_half goals,2nd_half goals,stoppage_time goals,normal_time goals,min 1-15 home goals,min 1-15 away goals,min 16-30 home goals,min 16-30 away goals,min 31-45+ home goals,min 31-45+ away goals,min 46-60 home goals,min 46-60 away goals,min 61-75 home goals,min 61-75 away goals,min 76-90+ home goals,min 76-90+ away goals,45+ home goals,45+ away goals,90+ home goals,90+ away goals,1st_half home goals,1st_half away goals,2nd_half home goals,2nd_half away goals,stoppage_time home goals,stoppage_time away goals,normal_time home goals,normal_time away goals
Chelsea,Manchester United,standard kick-off,13,22 October 2022,17:30 BST,Stamford Bridge,1–1,2,1,1,Stuart Attwell,0,0,0,0,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0
Chelsea,Bournemouth,standard kick-off,17,27 December 2022,17:30 GMT,Stamford Bridge,2–0,2,0,2,Simon Hooper,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
Nottingham Forest,Chelsea,standard kick-off,18,1 January 2023,16:30 GMT,City Ground,1–1,2,1,1,Peter Bankes,0,1,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
West Ham United,Chelsea,early kick-off,23,11 February 2023,12:30 GMT,London Stadium,1–1,2,1,1,Craig Pawson,0,2,0,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Chelsea,Southampton,standard kick-off,24,18 February 2023,15:00 GMT,Stamford Bridge,0–1,1,1,0,David Coote,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Chelsea,Leeds United,standard kick-off,26,4 March 2023,15:00 GMT,Stamford Bridge,1–0,1,0,1,Michael Oliver,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Leicester City,Chelsea,standard kick-off,27,11 March 2023,15:00 GMT,King Power Stadium,1–3,4,3,1,Andre Marriner,1,0,2,0,0,1,1,0,3,1,1,3,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,1,1,2
Chelsea,Everton,standard kick-off,28,18 March 2023,17:30 GMT,Stamford Bridge,2–2,4,2,2,Darren England,0,0,0,1,1,2,0,0,0,4,0,4,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,2,2
Wolverhampton Wanderers,Chelsea,standard kick-off,30,8 April 2023,15:00 BST,Molineux Stadium,1–0,1,0,1,Peter Bankes,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Chelsea,Brentford,late kick-off,33,26 April 2023,19:45 BST,Stamford Bridge,0–2,2,2,0,Andrew Madley,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
Bournemouth,Chelsea,standard kick-off,35,6 May 2023,15:00 GMT,Dean Court,1–3,4,3,1,John Brooks,1,1,0,0,0,2,0,0,2,2,0,4,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,3
Chelsea,Nottingham Forest,standard kick-off,36,13 May 2023,15:00 BST,Stamford Bridge,2–2,4,2,2,Paul Tierney,1,0,0,2,1,0,0,0,1,3,0,4,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,2,2
Manchester United,Chelsea,late kick-off,32,25 May 2023,20:00 BST,Old Trafford,4–1,5,1,4,Stuart Attwell,1,0,1,0,1,2,1,0,2,3,1,4,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,2,0,2,1,1,0,3,1
Leeds United,Wolverhampton Wanderers,standard kick-off,1,6 August 2022,15:00 BST,Elland Road,2–1,3,1,2,Robert Jones,1,1,0,0,1,0,0,0,2,1,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1
Bournemouth,Wolverhampton Wanderers,late kick-off,5,31 August 2022,19:30 BST,Vitality Stadium,0–0,0,0,0,Anthony Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolverhampton Wanderers,Southampton,standard kick-off,6,3 September 2022,15:00 BST,Molineux Stadium,1–0,1,0,1,John Brooks,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
West Ham United,Wolverhampton Wanderers,standard kick-off,9,1 October 2022,17:30 BST,London Stadium,2–0,2,0,2,Paul Tierney,0,1,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
Wolverhampton Wanderers,Nottingham Forest,standard kick-off,11,15 October 2022,15:00 BST,Molineux Stadium,1–0,1,0,1,Thomas Bramall,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Wolverhampton Wanderers,Leicester City,early kick-off,13,23 October 2022,14:00 BST,Molineux Stadium,0–4,4,4,0,Michael Oliver,1,1,0,0,1,1,0,0,2,2,0,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,4
Brentford,Wolverhampton Wanderers,standard kick-off,14,29 October 2022,15:00 BST,Brentford Community Stadium,1–1,2,1,1,Bobby Madley,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Everton,Wolverhampton Wanderers,standard kick-off,17,26 December 2022,15:00 GMT,Goodison Park,1–2,3,2,1,Craig Pawson,1,1,0,0,0,1,0,1,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1
Wolverhampton Wanderers,Manchester United,early kick-off,18,31 December 2022,12:30 GMT,Molineux Stadium,0–1,1,1,0,Robert Jones,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Wolverhampton Wanderers,West Ham United,standard kick-off,20,14 January 2023,15:00 GMT,Molineux Stadium,1–0,1,0,1,Simon Hooper,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Southampton,Wolverhampton Wanderers,standard kick-off,23,11 February 2023,15:00 GMT,St Mary's Stadium,1–2,3,2,1,Jarred Gillett,0,1,0,0,1,1,0,0,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,1,2
Wolverhampton Wanderers,Bournemouth,standard kick-off,24,18 February 2023,15:00 GMT,Molineux Stadium,0–1,1,1,0,Michael Salisbury,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Wolverhampton Wanderers,Leeds United,standard kick-off,28,18 March 2023,15:00 GMT,Molineux Stadium,2–4,6,4,2,Michael Salisbury,1,0,0,1,3,1,0,1,1,5,1,5,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,0,1,2,3,0,1,2,3
Nottingham Forest,Wolverhampton Wanderers,standard kick-off,29,1 April 2023,15:00 BST,City Ground,1–1,2,1,1,Chris Kavanagh,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Wolverhampton Wanderers,Brentford,standard kick-off,31,15 April 2023,15:00 BST,Molineux Stadium,2–0,2,0,2,Paul Tierney,0,1,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
Leicester City,Wolverhampton Wanderers,standard kick-off,32,22 April 2023,15:00 BST,King Power Stadium,2–1,3,1,2,Andrew Madley,1,0,1,0,1,0,0,0,2,1,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1
Manchester United,Wolverhampton Wanderers,standard kick-off,36,13 May 2023,15:00 BST,Old Trafford,2–0,2,0,2,John Brooks,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
Wolverhampton Wanderers,Everton,standard kick-off,37,20 May 2023,15:00 BST,Molineux Stadium,1–1,2,1,1,David Coote,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0
